Description,,,,Summary Amt.,,,,,,
Total credits,,,,-190,,,,,,
Total debits,,,,141,,,,,,
,,,,,,,,,,
CardHolder Name,Account/Card Number - last 4 digits,Posting Date,Trans. Date,Reference ID,Description,Amount,MCC,Merchant Category,Transaction Type,Expense Category
ACME CORP LLC,131,2/2/2026,2/1/2026,,ANNUAL CARD FEE,70,0,,D,
ACME CORP LLC,131,1/12/2026,1/11/2026,Ref: 01173400000847000006846,BA ELECTRONIC PAYMENT,-45.80,0,,C,
ACME CORP LLC,131,3/2/2026,2/27/2026,Ref: 05873400000847000010073,BA ELECTRONIC PAYMENT,-49.20,0,,C,
ACME CORP LLC,131,12/16/2025,12/16/2025,,PURCHASE *FINANCE CHARGE*,1.00,0,,D,
ALEX JOHNSON,4044,11/10/2025,11/5/2025,Ref: 24431065311321752253936,ALASKA AIR  0272122564492,11.20,3256,ALASKA AIRLINES INC.,D,Airlines
ALEX JOHNSON,4044,11/10/2025,11/5/2025,Ref: 24431065311321752253902,ALASKA AIR  0272122564493,11.20,3256,ALASKA AIRLINES INC.,D,Airlines
ALEX JOHNSON,4044,2/2/2026,2/1/2026,,ANNUAL CARD FEE,25,0,,D,
